dataset,k,faiss_load_time,query_embed_time,search_time,total_time
text_dataset,1,0.003936290740966797,2.319244861602783,0.002341747283935547,2.326087713241577
text_dataset,1,0.008004426956176758,0.0075130462646484375,0.0007383823394775391,0.016518115997314453
text_dataset,2,0.0029480457305908203,0.006074666976928711,0.00040841102600097656,0.009838342666625977
text_dataset,2,0.006280183792114258,0.006095170974731445,0.00067901611328125,0.01330709457397461
text_dataset,3,0.0020859241485595703,0.005937099456787109,0.00046181678771972656,0.008913755416870117
text_dataset,3,0.004401683807373047,0.008809089660644531,0.0007023811340332031,0.01421356201171875
text_dataset,4,0.0015959739685058594,0.0059642791748046875,0.00046181678771972656,0.008415460586547852
text_dataset,4,0.004384517669677734,0.005902767181396484,0.0007762908935546875,0.011302471160888672
text_dataset,5,0.0016579627990722656,0.005980491638183594,0.00044846534729003906,0.008513927459716797
text_dataset,5,0.004319190979003906,0.005774736404418945,0.0007104873657226562,0.011046886444091797
text_dataset,6,0.0017354488372802734,0.005983591079711914,0.0004508495330810547,0.008529186248779297
text_dataset,6,0.00434112548828125,0.006014823913574219,0.0007505416870117188,0.011349201202392578
text_dataset,7,0.0016961097717285156,0.005736827850341797,0.0005064010620117188,0.008273601531982422
text_dataset,7,0.004355669021606445,0.005710601806640625,0.0007443428039550781,0.011049509048461914
text_dataset,8,0.0017230510711669922,0.005641937255859375,0.00041747093200683594,0.008287191390991211
text_dataset,8,0.004127025604248047,0.0058820247650146484,0.0007305145263671875,0.011026620864868164
text_dataset,9,0.0016410350799560547,0.005991935729980469,0.0004665851593017578,0.00846719741821289
text_dataset,9,0.004385471343994141,0.0062029361724853516,0.0007624626159667969,0.011595010757446289
text_dataset,10,0.0016918182373046875,0.00582122802734375,0.0005185604095458984,0.008557558059692383
text_dataset,10,0.0042607784271240234,0.005948543548583984,0.0008432865142822266,0.011294841766357422
text_dataset,11,0.001590728759765625,0.005948305130004883,0.0005116462707519531,0.008544921875
text_dataset,11,0.004566192626953125,0.006246089935302734,0.0008022785186767578,0.011868000030517578
text_dataset,12,0.002012491226196289,0.006066560745239258,0.0006422996520996094,0.008983612060546875
text_dataset,12,0.004538774490356445,0.006419181823730469,0.0008826255798339844,0.01208186149597168
text_dataset,13,0.001964569091796875,0.006112575531005859,0.0006561279296875,0.009029150009155273
text_dataset,13,0.004616498947143555,0.00598907470703125,0.0008742809295654297,0.011719465255737305
text_dataset,14,0.0019683837890625,0.005654811859130859,0.0005042552947998047,0.008559942245483398
text_dataset,14,0.00432276725769043,0.005633831024169922,0.0007271766662597656,0.010938167572021484
text_dataset,15,0.0014913082122802734,0.005420684814453125,0.0005750656127929688,0.007858037948608398
text_dataset,15,0.004258155822753906,0.005547523498535156,0.001989126205444336,0.015819549560546875
text_dataset,16,0.0020568370819091797,0.009234905242919922,0.0005753040313720703,0.01223444938659668
text_dataset,16,0.004267215728759766,0.00549626350402832,0.0007371902465820312,0.010772943496704102
text_dataset,17,0.0014715194702148438,0.005468606948852539,0.0005817413330078125,0.007922649383544922
text_dataset,17,0.0040051937103271484,0.005511283874511719,0.0007748603820800781,0.010818719863891602
text_dataset,18,0.0015659332275390625,0.005702972412109375,0.0005087852478027344,0.008250713348388672
text_dataset,18,0.003952503204345703,0.0056378841400146484,0.0008053779602050781,0.01063847541809082
text_dataset,19,0.0016515254974365234,0.00565648078918457,0.0005319118499755859,0.008195638656616211
text_dataset,19,0.004037141799926758,0.005539417266845703,0.0007331371307373047,0.010569334030151367
text_dataset,20,0.001764059066772461,0.005496501922607422,0.0005116462707519531,0.008203268051147461
text_dataset,20,0.0039517879486083984,0.005533456802368164,0.0007550716400146484,0.010490179061889648
text_dataset,21,0.0014081001281738281,0.005500078201293945,0.0006206035614013672,0.007781505584716797
text_dataset,21,0.003934621810913086,0.00566554069519043,0.0007960796356201172,0.010655403137207031
text_dataset,22,0.0015788078308105469,0.005899190902709961,0.0006008148193359375,0.008379936218261719
